module	C3002C4_MGX	C3013C2_MGX	M2008C11_MGX	M2075C4_MGX	M2077C1_MGX	P6009C1_MGX	IBDMDB_CD_MSM6J2IY	IBDMDB_CD_PSM7J199	IBDMDB_UC_PSMA267J	G48777_CD	G48780_CD	G48783_Control	G48784_UC	G48787_Control	G48789_Control	G48790_Control	G48791_UC	G48792_Control	G48793_Control	G48794_UC	G48795_CD	G48796_CD	G48798_Control	G48799_UC	G48802_UC	G48804_CD	G48805_CD	G48806_CD	G48807_CD	G48808_Control	G48810_CD	G48812_UC	G48814_UC	G48815_CD	G48817_CD	G48819_CD	G48820_CD	G48821_UC	G48822_UC	G48823_CD	G48826_Control	G48827_CD	G48831_Control	G48832_UC	G48836_UC	G48838_CD	G48839_CD	G48841_CD	G48842_CD	G83831_Control	AST0002	AST0003	AST0005	AST0008	AST0009	AST0011	AST0013	AST0015	AST0017	AST0018	AST0019	AST0022	AST0023	AST0024	AST0025	AST0026	AST0029	AST0030	AST0031	AST0032	AST0033	AST0034	AST0035	AST0037	AST0038	AST0040	AST0042	AST0044	AST0045	AST0049	AST0050	AST0051	AST0055	AST0056	AST0057	AST0058	AST0060	AST0061	AST0064	AST0066	AST0067	AST0068	AST0069	AST0070	AST0071	AST0072	AST0073	AST0074	AST0075	AST0076	AST0077	AST0078	AST0081	AST0083	AST0086	AST0090	AST0091	AST0092	AST0093	AST0095	AST0098	AST0100	AST0104	AST0105	AST0107	AST0109	AST0112	AST0113	AST0114	AST0115	AST0117	AST0118	AST0119	AST0120	AST0121	AST0122	AST0124	AST0126	AST0127	AST0128	AST0130	AST0131	AST0132	AST0133	AST0134	AST0135	AST0136	AST0139	AST0140	AST0141	AST0145	AST0148	AST0149	AST0153	AUS0002	AUS0004	AUS0014	AUS0016	AUS0018	AUS0020	AUS0022	AUS0024	CAN0001	CAN0002	CAN0003	CAN0004	CAN0005	CAN0006	CAN0007	CAN0009	CAN0010	CAN0011	CAN0012	CAN0013	CAN0014	CAN0015	CAN0016	CAN0017	CAN0018	CAN0019	CAN0020	CAN0021	CAN0022	CAN0023	CHI0106	CHI0111	CHI0116	CHI0132	CHI0133	CHI0138	CHI0140	CHI0141	CHI0143	CHI0145	CHI0154	CHI0162	CHI0164	CHI0165	CHI0167	CHI0168	CHI0182	DEN0001	DEN0003	DEN0005	DEN0007	DEN0010	DEN0011	DEN0012	DEN0017	DEN0018	DEN0021	DEN0022	DEN0026	DEN0028	DEN0029	DEN0031	DEN0033	DEN0035	DEN0039	DEN0041	DEN0045	DEN0046	DEN0051	DEN0052	DEN0053	DEN0061	DEN0062	DEN0063	DEN0064	DEN0065	DEN0066	DEN0067	DEN0069	DEN0070	DEN0071	DEN0072	DEN0073	DEN0078	DEN0079	DEN0082	DEN0083	DEN0085	DEN0087	DEN0090	DEN0092	DEN0093	DEN0094	DEN0096	DEN0099	DEN0100	DEN0101	DEN0107	DEN0108	DEN0109	DEN0111	DEN0114	DEN0118	DEN0120	DEN0121	DEN0122	DEN0127	DEN0131	DEN0132	DEN0133	DEN0134	DEN0136	DEN0138	DEN0139	DEN0143	DEN0144	DEN0145	DEN0146	DEN0149	DEN0151	DEN0152	DEN0153	DEN0154	DEN0156	DEN0158	DEN0159	DEN0160	DEN0161	DEN0162	DEN0164	DEN0165	DEN0168	DEN0169	DEN0173	DEN0174	DEN0175	DEN0178	DEN0179	DEN0180	DEN0181	DEN0184	DEN0185	DEN0188	DEN0192	DEN0194	DEN0195	DEN0199	DEN0200	DEN0202	DEN0203	DEN0205	DEN0212	DEN0213	DEN0214	DEN0215	DEN0216	DEN0219	DEN0221	DEN0225	DEN0226	DEN0228	DEN0229	DEN0230	DEN0231	DEN0233	DEN0236	DEN0237	DEN0238	DEN0239	DEN0240	DEN0241	DEN0244	DEN0245	DEN0246	DEN0250	DEN0251	DEN0252	DEN0253	DEN0254	DEN0257	DEN0259	DEN0260	DEN0261	DEN0263	DEN0264	DEN0266	DEN0268	DEN0270	DEN0272	DEN0274	DEN0276	DEN0278	DEN0281	DEN0283	DEN0287	DEN0288	DEN0289	DEN0290	ENG0006	ENG0103	n_209_V6_M_229_non_pouchitis_2	n_209_V7_M_348_non_pouchitis_3	n_210_V10_M_720_non_pouchitis_7	n_210_V5_M_117_non_pouchitis_4	n_210_V6_M_265_non_pouchitis_5	n_210_V7_M_368_non_pouchitis_6	n_211_V10_M_714_non_pouchitis_4	n_211_V5_M_117_non_pouchitis_1	n_211_V6_M_229_non_pouchitis_2	n_211_V7_M_369_non_pouchitis_3	n_212_V10_M_720_non_pouchitis_4	n_212_V5_M_120_non_pouchitis_1	n_212_V6_M_239_non_pouchitis_2	n_212_V7_M_359_non_pouchitis_3	n_213_V10_M_722_non_pouchitis_4	n_213_V5_M_126_non_pouchitis_1	n_213_V6_M_231_non_pouchitis_2	n_213_V7_M_359_non_pouchitis_3	n_216_V10_M_721_non_pouchitis_4	n_216_V6_M_233_non_pouchitis_2	n_217_V10_M_720_non_pouchitis_4	n_217_V6_M_235_non_pouchitis_2	n_423_V6_M_232_non_pouchitis_2	n_423_V7_M_355_non_pouchitis_3	n_427_V6_M_234_non_pouchitis_2	n_503_V5_M_126_non_pouchitis_1	n_503_V6_M_271_non_pouchitis_2	n_503_V7_M_412_non_pouchitis_3	p_200_V10_M_731_without_inflamation_5	p_200_V12_M_282_inflamation_1	p_202_V10_M_743_without_inflamation_6	p_202_V11_M_301_inflamation_3	p_202_V12_M_329_antibiotic_4	p_202_V6_M_238_without_inflamation_2	p_204_V10_M_785_without_inflamation_6	p_204_V12_M_462_antibiotic_4	p_204_V5_M_187_without_inflamation_1	p_204_V6_M_308_without_inflamation_2	p_206_V11_M_482_inflamation_5	p_206_V5_M_118_without_inflamation_1	p_206_V6_M_237_without_inflamation_2	p_206_V7_M_363_without_inflamation_3	p_207_V10_M_719_inflamation_7	p_207_V5_M_124_without_inflamation_1	p_207_V6_M_236_without_inflamation_2	p_207_V7_M_355_without_inflamation_3	p_207_V8_M_482_inflamation_4	p_207_V9_M_601_without_inflamation_6	p_208_V12_M_651_antibiotic_6	p_208_V5_M_119_without_inflamation_1	p_208_V7_M_357_without_inflamation_3	p_208_V9_M_613_inflamation_5	p_214_V6_M_231_without_inflamation_2	p_214_V7_M_358_without_inflamation_3	p_214_V8_M_484_inflamation_4	p_215_V10_M_717_without_inflamation_3	p_215_V6_M_248_without_inflamation_1	p_215_V7_M_371_without_inflamation_2	p_218_V6_M_238_without_inflamation_2	p_500_V5_M_120_without_inflamation_1	p_500_V6_M_260_without_inflamation_2	p_500_V7_M_365_without_inflamation_3	p_502_V5_M_120_without_inflamation_1	p_502_V6_M_234_without_inflamation_2
M00011	3	6	3	3	3	3	3	3	2	9	8	7	6	5	12	11	6	9	6	10	8	6	8	7	14	1	2	0	6	4	6	6	3	7	5	7	3	3	3	7	10	5	6	3	1	12	8	3	7	3	4	5	2	1	1	1	4	1	1	0	2	2	3	2	3	4	6	2	3	1	1	1	2	5	2	3	1	1	2	1	0	1	3	1	1	1	5	5	5	0	1	5	7	8	5	12	4	4	3	7	3	8	3	4	6	3	2	1	1	3	4	3	2	4	2	0	7	9	1	2	4	4	5	8	6	7	3	8	3	3	2	1	2	6	3	2	5	6	4	9	4	2	7	7	3	3	9	3	8	5	9	6	17	3	12	4	5	17	10	5	8	12	10	9	8	11	7	10	6	2	8	12	9	4	4	7	8	5	7	2	2	8	7	3	5	5	7	0	3	3	3	5	3	3	8	7	6	3	8	6	4	11	8	6	1	3	3	3	1	4	5	3	10	7	1	9	2	10	8	2	5	7	7	8	4	3	9	6	6	10	5	5	0	2	1	4	3	8	1	5	5	0	2	2	1	3	3	1	3	6	2	6	5	7	9	3	0	2	5	5	1	5	2	2	1	6	2	6	4	3	4	4	2	1	7	3	2	2	5	1	2	1	5	5	4	4	7	2	7	7	6	6	1	6	4	6	7	5	5	2	5	5	2	5	9	3	2	5	2	3	4	6	7	4	2	6	5	7	1	2	7	2	9	5	4	6	2	2	4	3	3	6	4	1	6	11	9	6	3	5	4	6	7	7	2	1	8	6	7	9	3	4	3	5	3	4	0	8	4	6	5	2	3	4	3	1	4	3	3	5	9	6	4	5	3	3	2	3	3	4	4	3	2	4	4	1	3	4	4	4	5	5	7	5	5	1	3	3	3	9	5	4	3	7	10	7	6	3
M00012	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	1	0	1	1	1	0	4	3	2	1	1	2	0	1	0	1	1	1	3	4	1	1	1	1	1	0	2	1	0	0	1	0	2	0	0	1	1	1	1	1	2	0	1	1	0	1	1	2	1	1	0	1	0	1	1	3	0
M00015	7	6	10	15	7	17	12	8	10	30	31	59	43	40	80	73	60	53	40	51	35	51	54	44	43	11	3	11	44	36	32	40	16	27	39	11	12	10	8	37	56	30	42	27	10	46	33	13	26	24	37	45	37	22	9	32	24	27	29	27	30	38	34	36	40	38	36	13	36	24	16	30	19	24	27	24	34	17	19	31	13	24	37	13	7	18	35	41	27	18	26	31	32	35	41	35	29	34	21	40	23	23	33	26	32	32	37	20	28	36	32	15	27	34	33	19	27	40	24	28	25	31	30	35	31	45	28	21	39	39	31	22	5	39	25	23	26	18	30	35	29	37	29	30	22	20	28	19	25	25	30	22	50	17	47	22	16	51	47	27	20	38	62	39	50	46	43	44	29	10	42	42	29	9	23	33	20	31	19	15	30	29	21	18	30	25	22	20	21	22	28	36	29	24	26	36	30	9	26	24	34	31	26	23	8	24	31	24	9	32	30	17	42	29	3	34	14	35	27	27	27	24	26	28	36	15	38	20	33	32	31	31	7	19	3	32	25	35	6	29	26	9	13	13	14	10	32	5	11	28	8	34	23	41	28	20	7	6	23	30	20	23	22	12	5	31	12	27	26	25	14	20	15	6	26	34	24	20	30	10	9	5	23	18	20	28	28	6	31	24	32	25	10	21	21	30	31	22	21	19	31	32	4	31	29	17	20	30	10	9	24	26	34	36	9	32	27	39	7	7	26	4	40	24	27	21	20	30	33	32	21	12	28	7	32	21	37	28	16	17	28	28	32	28	14	13	33	25	31	44	12	34	17	18	25	16	17	26	22	22	26	14	16	17	14	11	16	25	9	18	24	18	18	21	13	11	18	15	8	13	22	13	17	15	15	5	8	14	14	17	11	12	25	26	15	5	19	14	10	27	21	17	15	21	24	28	22	22
M00016	0	0	1	2	0	1	0	1	0	4	5	5	7	3	6	11	7	3	3	8	3	2	8	4	5	1	1	0	6	4	5	3	2	3	3	4	4	3	2	5	4	3	6	2	2	5	7	4	4	3	2	3	3	1	2	0	1	1	2	1	1	0	1	2	3	3	4	2	4	2	2	2	0	3	2	3	3	2	1	1	3	4	3	2	2	4	6	4	2	2	2	3	2	7	3	6	4	3	3	5	3	2	2	4	7	5	2	2	2	2	3	2	2	2	3	3	3	6	1	3	6	2	3	5	4	5	3	6	3	4	2	2	2	3	5	0	4	2	3	5	4	3	3	8	0	0	4	2	2	1	3	2	12	3	12	4	3	11	6	4	2	4	9	7	8	4	6	8	6	0	9	7	6	1	5	8	3	3	3	1	2	3	2	1	2	2	1	1	3	3	2	1	0	3	7	2	1	2	4	4	2	4	1	4	0	3	1	2	0	8	3	0	4	3	0	3	0	5	1	2	1	2	4	8	1	4	5	2	2	3	7	3	0	0	1	4	1	2	0	2	3	0	0	0	1	0	2	0	1	3	0	3	1	1	3	2	1	1	2	3	1	4	1	0	1	6	0	3	4	1	0	3	1	0	2	5	1	1	2	0	1	0	2	4	1	3	3	1	2	2	2	3	0	4	2	3	2	2	1	1	6	3	0	9	2	1	2	2	0	0	2	7	6	2	1	4	3	3	0	0	5	0	1	3	1	1	0	0	3	4	2	1	1	0	1	2	4	1	3	7	4	4	4	1	3	1	4	3	5	5	1	5	5	2	3	4	1	7	5	4	6	2	6	3	4	2	2	2	1	7	5	2	3	2	2	3	3	0	2	0	2	3	2	4	2	2	1	2	4	4	2	3	8	6	1	0	1	2	2	4	6	3	3	2	5	3	4	0
M00017	0	1	0	0	0	2	1	0	0	4	3	5	8	0	6	10	5	8	8	6	1	4	7	5	5	5	3	3	6	4	5	3	7	2	6	11	8	6	5	0	4	4	3	3	8	2	4	5	3	2	7	7	5	2	3	2	5	3	4	3	4	2	5	6	3	5	2	4	3	2	1	2	1	6	5	2	4	2	1	3	4	6	6	2	2	5	5	5	4	3	3	2	2	4	6	6	1	2	4	4	4	2	4	4	4	5	3	5	4	2	4	1	6	6	5	3	3	1	1	4	6	6	5	4	5	2	5	8	5	6	5	1	4	1	7	0	2	7	6	5	5	1	3	3	3	1	3	3	4	2	6	3	5	2	6	2	1	5	8	4	1	3	8	3	6	2	5	7	4	0	3	3	3	0	2	3	3	5	3	0	4	4	6	3	1	2	2	6	0	2	6	5	3	5	4	6	7	5	3	3	3	3	2	2	0	3	4	3	1	3	4	2	4	3	1	3	2	2	1	4	3	3	5	2	4	2	3	3	4	6	5	2	0	5	1	4	3	3	1	6	1	1	2	2	1	2	4	1	2	4	2	6	1	8	2	5	1	1	2	3	0	4	2	1	1	3	0	5	4	5	1	4	1	0	6	7	3	4	5	0	0	1	4	1	2	4	3	0	2	2	3	4	2	1	5	4	5	4	4	3	1	4	0	3	1	1	1	1	0	1	2	3	4	3	1	5	3	6	0	1	3	0	6	2	4	2	2	5	4	6	2	0	3	0	5	3	3	4	1	3	3	3	3	5	4	6	2	2	5	7	5	7	3	2	7	8	5	11	5	8	6	6	8	5	2	5	5	7	3	13	9	2	6	4	6	5	8	3	5	0	0	5	5	10	10	2	3	4	5	7	4	10	7	8	6	0	4	4	3	7	9	2	8	3	6	6	9	1
M00018	3	3	2	7	1	10	9	1	7	16	29	47	42	31	63	56	42	38	35	28	17	42	41	40	31	8	3	8	49	27	21	32	15	17	21	13	7	10	6	24	38	19	35	21	10	30	19	10	20	21	39	37	33	19	11	26	13	29	26	28	28	33	33	29	35	39	34	12	31	26	18	32	14	22	27	20	35	17	11	31	14	30	35	12	6	19	29	37	23	16	26	23	32	27	32	22	19	25	15	25	20	16	30	23	35	28	37	18	27	30	29	15	25	29	35	17	25	31	27	31	27	23	21	26	24	29	21	17	32	36	31	14	3	30	30	18	19	12	26	29	16	31	23	24	20	18	15	11	13	14	24	24	27	13	29	10	12	34	34	16	11	22	38	27	38	30	23	27	17	6	27	32	21	4	14	23	8	26	15	10	19	17	20	10	12	16	13	17	15	12	19	26	25	24	22	26	24	7	22	20	22	17	21	15	2	24	25	16	5	23	25	8	30	25	3	22	12	25	19	19	19	18	21	26	25	8	24	16	25	17	21	14	4	18	4	37	19	15	6	24	17	8	7	9	9	13	22	5	12	18	5	27	21	30	14	14	3	5	15	16	16	20	18	9	4	26	8	21	25	20	7	23	10	7	21	29	14	17	27	12	4	5	15	10	10	18	18	2	22	18	22	12	5	17	23	23	25	15	14	11	22	20	3	22	12	8	12	20	4	3	17	18	32	27	5	22	22	30	6	8	20	6	31	15	17	21	11	26	19	21	16	4	22	3	25	17	38	21	9	14	22	19	21	19	16	17	28	15	28	39	13	30	23	11	23	17	19	24	18	20	24	19	13	17	11	11	13	21	6	16	17	10	15	16	9	10	15	13	10	4	10	11	16	15	20	5	7	11	8	13	7	13	15	27	12	2	10	11	6	22	18	19	21	8	13	17	19	18
M00019	7	6	9	13	7	17	14	8	10	27	34	55	45	32	73	62	53	55	40	46	35	54	52	42	43	9	2	11	48	33	32	36	20	25	36	9	11	9	6	39	49	31	42	29	9	44	32	18	30	30	42	42	40	27	13	29	16	23	34	28	31	33	28	38	35	36	36	11	39	29	20	34	20	23	33	24	33	17	20	31	20	31	39	12	8	24	37	38	27	22	26	28	30	32	44	39	29	26	24	41	18	25	32	30	42	33	36	22	23	39	28	17	27	40	39	21	31	35	30	30	33	23	31	28	27	40	25	19	35	45	38	21	3	38	29	24	29	16	36	40	29	36	32	27	24	21	28	19	26	19	34	28	50	17	40	20	21	49	43	22	18	39	58	38	48	42	42	41	31	8	39	38	28	8	22	32	21	37	19	16	27	30	26	19	23	23	23	21	20	19	26	33	34	29	28	39	24	5	30	30	31	32	26	23	5	27	33	21	6	35	33	12	45	30	2	37	13	32	25	28	26	29	35	32	30	17	40	22	35	27	30	34	8	20	2	41	27	26	4	28	21	12	14	13	14	12	26	6	14	33	8	32	25	28	30	25	8	10	27	26	20	22	22	12	8	31	9	35	32	28	12	27	15	9	25	33	27	22	34	13	8	3	29	24	19	31	25	6	35	27	40	19	9	22	26	36	32	19	20	17	34	33	10	36	29	18	20	32	8	11	25	27	38	38	9	39	30	45	7	9	32	6	43	27	21	27	19	36	34	35	26	10	24	3	35	23	37	30	14	15	35	32	31	28	17	8	35	27	33	45	18	31	21	16	25	12	16	19	23	19	28	17	14	19	15	14	16	20	10	14	23	21	16	22	13	9	13	15	9	13	26	13	17	16	16	5	8	15	14	21	12	14	23	24	15	5	20	13	11	29	18	17	21	20	18	29	21	23
M00020	8	5	10	12	10	15	9	7	11	24	28	48	34	24	61	46	42	46	37	41	20	39	40	35	37	5	2	7	44	29	27	24	14	25	17	9	10	6	4	26	37	22	38	17	7	32	29	11	18	20	40	31	23	10	9	24	9	26	19	24	19	26	25	30	33	33	28	13	26	27	13	25	14	19	19	18	28	17	14	27	18	24	23	13	6	15	25	30	21	11	21	23	30	30	30	33	23	26	15	35	19	22	29	18	28	18	30	18	22	23	25	7	20	25	27	12	19	36	18	25	26	22	19	26	25	27	24	18	37	37	25	20	3	29	23	17	22	14	26	30	24	33	25	33	26	21	28	17	26	28	42	32	41	19	42	22	20	48	37	17	17	32	52	32	44	39	35	41	28	7	34	37	28	9	19	29	17	26	17	17	30	28	18	13	19	27	19	17	15	18	25	29	25	27	31	32	24	4	30	26	28	27	30	21	7	26	26	21	8	29	34	16	38	26	3	34	17	33	25	21	30	21	25	29	42	10	38	16	33	28	29	30	10	19	6	35	24	25	11	25	18	13	12	14	18	10	29	8	19	34	10	32	24	26	21	23	8	7	28	23	20	21	25	14	4	29	12	27	27	18	15	24	19	10	25	36	19	14	39	15	9	6	26	16	15	24	22	4	30	24	30	23	10	23	24	27	34	18	20	17	29	35	5	28	18	14	27	31	9	8	24	32	36	33	10	32	29	39	8	12	31	7	32	21	28	25	20	30	29	27	21	14	30	7	35	22	41	31	16	17	26	29	31	24	14	7	23	17	27	37	14	27	20	15	23	14	16	25	17	15	28	16	14	17	12	9	13	18	8	18	20	11	14	17	12	9	14	19	9	10	15	11	16	15	10	4	8	12	11	14	10	11	17	30	13	4	10	10	7	24	17	17	12	16	20	25	18	20
M00021	11	9	14	17	13	20	15	12	13	34	39	72	53	53	98	91	76	81	61	70	51	68	68	55	58	13	3	17	68	45	28	54	25	39	57	11	16	18	13	50	69	32	51	35	16	57	38	22	39	33	44	50	37	31	13	43	42	34	31	35	34	48	41	55	53	40	42	12	45	36	17	39	25	33	32	29	40	20	24	37	17	32	45	18	10	23	39	53	35	20	30	37	32	48	50	40	38	32	23	43	32	27	45	45	46	30	47	27	29	35	38	21	50	42	47	24	36	50	30	34	26	39	40	41	38	47	41	31	58	52	40	29	5	40	31	30	33	23	39	37	33	45	40	37	29	31	32	22	32	31	39	43	47	22	63	24	28	65	64	34	22	52	83	38	65	65	61	54	45	11	53	51	42	10	25	52	26	39	20	22	41	41	29	26	36	35	28	25	27	27	38	48	41	37	37	54	54	9	40	44	46	38	50	27	13	31	36	36	18	47	43	23	52	46	4	53	22	56	49	37	38	34	43	40	43	23	54	35	50	46	42	35	12	27	7	50	36	48	10	35	40	17	16	20	23	25	42	10	23	35	13	45	38	61	36	35	10	9	34	43	25	36	31	20	6	51	16	35	41	38	22	32	23	12	41	45	32	25	52	17	9	10	32	21	24	42	38	10	38	37	46	33	17	32	33	50	48	31	30	30	38	42	13	38	43	19	29	41	9	14	29	36	48	43	12	52	43	60	10	18	42	15	61	31	28	34	24	53	46	48	29	13	31	3	48	32	51	40	22	26	39	42	42	34	19	17	37	34	43	53	22	45	23	20	34	23	22	30	26	23	33	19	16	26	15	12	22	32	14	19	28	22	25	36	17	16	18	20	14	24	33	16	24	27	25	7	9	19	19	27	14	17	27	34	19	8	22	19	13	31	27	22	24	30	28	33	30	33
M00022	7	7	5	10	1	12	9	5	7	32	41	66	55	44	91	101	72	73	57	65	35	56	65	50	51	12	2	12	51	43	34	46	20	33	51	10	15	13	8	45	61	32	48	33	11	44	36	18	30	33	45	52	40	26	15	42	33	29	36	29	39	43	46	44	44	42	44	13	41	27	19	38	20	27	35	29	45	23	17	36	17	34	49	17	9	21	45	54	34	23	30	34	45	41	48	39	34	36	27	44	34	23	34	40	42	39	43	24	29	34	42	19	38	43	42	23	39	46	32	31	33	40	36	40	31	45	36	30	36	46	37	20	4	45	32	29	33	16	38	38	33	39	33	34	28	21	29	20	29	20	35	32	46	16	46	21	18	57	56	29	16	46	67	33	49	46	41	41	27	7	42	52	34	4	21	38	18	37	26	16	32	27	23	19	22	24	21	22	21	16	33	41	30	33	33	41	36	7	33	36	37	36	28	23	3	31	32	35	9	36	40	12	45	39	5	44	16	47	43	29	31	23	33	36	42	12	49	32	47	43	35	33	9	28	9	36	34	42	6	29	36	14	11	12	14	19	38	6	16	31	10	37	33	50	39	27	5	8	28	35	20	36	27	16	4	39	11	29	32	31	8	28	14	11	34	44	29	21	37	15	5	6	33	21	18	43	30	6	35	27	38	25	12	28	24	42	39	28	20	20	36	40	8	38	31	19	20	29	6	9	26	33	43	36	10	43	32	46	5	10	32	7	50	26	22	33	20	38	31	30	25	9	35	4	34	30	44	35	20	29	37	37	25	30	17	14	37	28	38	57	19	41	25	19	29	19	19	27	24	26	36	18	19	26	15	13	18	26	10	19	27	20	20	29	15	10	15	17	11	13	25	13	23	20	17	8	7	15	17	21	11	14	31	35	16	5	17	14	11	32	24	21	20	25	24	28	25	27
M00023	5	7	6	10	5	11	8	5	7	22	18	35	23	19	58	39	38	35	31	33	25	36	29	32	28	7	2	7	35	28	19	25	13	18	21	12	13	9	5	21	33	21	28	15	6	25	20	13	16	20	35	29	25	20	9	15	9	21	19	19	22	26	16	22	20	21	24	6	29	20	13	21	15	19	22	17	19	14	16	22	13	17	25	12	8	14	27	17	16	14	15	12	15	23	27	23	20	21	12	30	14	16	23	16	26	16	29	16	20	21	18	8	18	27	25	16	20	26	17	20	17	18	22	17	16	24	20	14	29	33	22	15	2	24	20	13	17	12	24	26	23	29	25	21	21	22	26	16	18	21	26	23	29	12	31	15	13	28	22	11	8	20	31	19	28	27	26	27	23	5	20	22	15	6	13	21	15	25	9	12	28	18	18	15	14	19	17	13	13	13	19	21	26	21	20	32	15	4	22	18	21	19	23	17	6	18	27	14	8	23	28	13	29	19	3	31	10	21	22	19	20	19	23	20	31	11	28	12	27	20	18	26	7	12	3	31	17	22	3	19	14	11	10	9	15	8	27	5	11	22	8	19	20	27	20	20	4	9	24	20	16	17	13	11	7	24	9	23	24	19	10	21	14	6	23	21	16	15	26	11	7	2	20	11	16	19	17	4	24	21	23	17	9	10	20	22	26	13	13	16	22	26	6	17	24	17	16	21	9	7	18	21	27	25	6	26	24	28	5	9	27	5	27	16	20	21	13	28	24	26	16	9	22	2	27	17	21	24	13	8	20	22	25	19	13	7	23	19	29	30	15	22	15	17	19	13	14	18	14	20	23	10	14	18	11	11	11	17	10	15	22	18	12	16	10	11	13	14	6	10	16	11	13	14	13	3	9	14	14	15	10	14	20	24	9	6	17	12	9	20	18	12	12	14	16	20	19	19
M00024	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1	0	0	0	0	1	1	1	0	1	1	2	0	2	1	0	0	1	1	0	4	3	3	3	1	1	1	1	0	1	2	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	1	0	2	0	2	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	4	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	1	1	0	1	1	4	0	8	3	1	1	1	3	0	1	0	1	1	1	4	4	2	1	1	1	2	0	1	1	0	0	1	1	2	3	1	1	1	1	1	1	3	1	3	1	0	1	2	3	1	2	0	1	2	1	2	5	0
